#Table1
g,i,r,z
23.15773,22.01579,22.92479,1.002001
26.01673,21.40061,22.82399,1.004413
24.34662,20.87541,22.40899,1.004432
22.94341,20.88447,22.34579,1.001559
22.86082,20.4468,21.86701,1.003776
24.89968,21.6483,22.90144,1.001716
23.83134,22.29779,24.10515,1.002823
22.51782,21.6598,22.58037,1.002053
22.28293,20.98687,21.60157,1.004322
23.48782,22.45456,22.46556,1.002269
22.75487,21.01361,22.53071,1.003253
25.99747,21.42763,23.0802,1.001535
22.56781,22.91095,22.67473,1.002233
23.12226,21.88967,21.75145,1.004371
22.8157,20.99594,22.088,1.001772
23.92732,21.43568,22.71177,1.002778
22.61058,22.00718,23.07416,1.001771
23.09283,21.28683,22.51684,1.003318
22.6044,21.14282,22.06803,1.004033
23.02722,21.37032,22.37847,1.003745
23.53651,22.94875,22.74704,1.004317
23.15703,20.94838,22.23295,1.003621
22.0977,20.12614,21.3199,1.003798
22.6709,21.82821,22.25446,1.003828
23.09027,21.67181,22.08248,1.002698
22.26974,21.14966,22.28464,1.002352
23.06717,21.40634,22.6127,1.002834
22.09886,20.8413,21.66747,1.003749
20.07662,18.54803,18.61048,1.002703
26.00313,21.0965,22.7298,1.002316
22.135,21.24087,21.68382,1.002057
22.90026,21.09328,22.9485,1.00288
22.28385,21.37246,21.99088,1.003115
23.29414,22.32228,23.40749,1.001626
23.42454,21.69557,23.14759,1.002656
22.24178,21.01338,22.0849,1.003327
22.80373,21.57316,22.22573,1.002213
23.30524,21.50145,22.67136,1.003301
22.85097,21.82174,22.89602,1.004371
22.40733,21.04262,21.81237,1.003026
22.57627,22.04039,21.90567,1.002076
22.05986,21.46112,21.85398,1.003314
23.09902,22.33217,22.76355,1.00385
22.05329,21.61087,22.29382,1.003672
22.63641,21.76554,21.30293,1.004436
21.91618,21.48879,22.32305,1.002166
24.05626,22.15566,23.43019,1.001938
21.66044,21.03509,21.87125,1.001682
23.3909,23.77529,23.08797,1.00175
22.65649,21.28411,22.45625,1.002795
22.8257,21.17275,22.01727,1.00164
22.22613,20.85382,21.4911,1.004016
22.71534,22.19357,22.12724,1.002869
23.19449,21.84267,22.39815,1.002657
22.5655,21.30483,21.72065,1.001858
21.40584,20.12708,20.81148,1.002906
23.2956,22.23477,22.84065,1.003488
22.47142,20.87817,21.7346,1.003758
22.36931,20.99181,21.66253,1.001664
22.54427,21.26946,21.92019,1.004385
22.76282,20.99258,21.87787,1.004434
22.5159,21.28377,21.73687,1.003125
23.57551,22.86659,22.55397,1.001946
22.63668,21.72865,22.16565,1.00225
23.18224,21.97227,22.3673,1.002387
22.27922,21.59606,21.89741,1.003262
22.53563,22.1635,22.70699,1.003858
22.48327,21.24586,22.20033,1.001938
23.26327,21.52616,22.1638,1.001564
22.46618,21.12478,20.91747,1.003977
22.73755,21.942,22.22174,1.003998
24.9538,22.28739,22.87502,1.003316
22.48116,21.08151,21.81853,1.003087
23.05732,21.57597,22.16639,1.002199
23.85044,22.24636,22.32327,1.003232
22.36175,21.12301,21.77458,1.00251
22.4322,21.41293,22.35507,1.002656
23.08912,21.17294,22.21848,1.00377
22.90754,22.31778,23.00897,1.00308
23.42826,21.26921,22.37184,1.002323
22.89183,21.16807,22.37456,1.002733
22.77561,22.01864,22.66459,1.004083
22.62942,21.11872,21.7051,1.004061
22.27293,21.61519,21.48132,1.003637
22.98171,21.82654,22.29639,1.001908
22.96877,22.0653,22.37576,1.003588
23.11115,22.19571,22.37022,1.001279
22.67047,21.89789,23.30521,1.00364
22.91637,21.8238,22.38462,1.002055
23.13284,21.36961,22.08477,1.002847
21.70224,20.63068,21.80801,1.00403
23.00996,21.37931,22.08878,1.002166
24.18629,22.5304,23.84543,1.001794
23.90755,22.25746,23.44307,1.001633
22.55452,21.24984,22.37309,1.002497
23.26049,21.79699,22.72721,1.001601
25.25434,22.01154,22.92888,1.003136
22.37833,21.36313,21.62807,1.004193
22.34396,21.32656,21.73783,1.001304
22.56669,22.53869,22.1232,1.004177
21.40425,20.61317,20.79414,1.002706
26.18778,21.78252,22.83414,1.002837
20.73053,19.86838,20.11581,1.001237
24.0024,19.48629,20.92949,1.002166
22.81712,22.49269,22.93621,1.001655
22.83967,21.32139,21.88695,1.004322
24.54623,20.69877,21.73459,1.001471
23.35323,20.82706,22.46141,1.002515
22.67415,21.83783,22.63798,1.001418
22.08229,22.45766,22.56724,1.001981
22.79045,21.33328,21.80028,1.001261
22.47605,21.14455,22.07356,1.003874
23.07087,21.72626,21.76814,1.00226
22.28289,21.28125,21.52451,1.002166
22.2819,22.24639,22.27234,1.004078
22.70602,21.02973,21.38491,1.002488
22.16781,22.09171,21.7556,1.003473
